time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-12 00:00:00+00:00,4.0,4.0,45,15
2021-09-13 00:00:00+00:00,9.0,4.0,121,38
2021-09-14 00:00:00+00:00,7.0,5.0,184,39
2021-09-15 00:00:00+00:00,5.0,3.0,160,43
2021-09-16 00:00:00+00:00,,,125,31
2021-09-17 00:00:00+00:00,,,120,41
2021-09-18 00:00:00+00:00,,,27,15
2021-09-19 00:00:00+00:00,,,88,19
2021-09-20 00:00:00+00:00,,,98,38
2021-09-21 00:00:00+00:00,,,149,41
2021-09-22 00:00:00+00:00,,,212,35
2021-09-23 00:00:00+00:00,,,92,32
2021-09-24 00:00:00+00:00,,,111,39
2021-09-25 00:00:00+00:00,,,59,19
