time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-22 00:00:00+00:00,72.0,10.0,212,35
2021-09-23 00:00:00+00:00,14.0,6.0,92,32
2021-09-24 00:00:00+00:00,4.0,4.0,111,39
2021-09-25 00:00:00+00:00,13.0,9.0,60,19
2021-09-26 00:00:00+00:00,1.0,1.0,121,28
2021-09-27 00:00:00+00:00,45.0,4.0,153,50
2021-09-28 00:00:00+00:00,1.0,1.0,120,38
2021-09-29 00:00:00+00:00,7.0,3.0,166,44
2021-09-30 00:00:00+00:00,3.0,3.0,155,48
2021-10-01 00:00:00+00:00,27.0,8.0,135,34
2021-10-02 00:00:00+00:00,40.0,7.0,33,20
2021-10-03 00:00:00+00:00,,,44,16
2021-10-04 00:00:00+00:00,8.0,5.0,141,45
2021-10-05 00:00:00+00:00,7.0,7.0,61,26
