time_iso8601,forks_cumulative
2020-12-16 00:00:00+00:00,1
2021-01-30 00:00:00+00:00,2
2021-04-19 00:00:00+00:00,4
2021-04-26 00:00:00+00:00,5
2021-04-29 00:00:00+00:00,6
2021-05-13 00:00:00+00:00,8
2021-06-10 00:00:00+00:00,9
2021-07-07 00:00:00+00:00,10
2021-07-28 00:00:00+00:00,11
2021-08-03 00:00:00+00:00,12
2021-08-25 00:00:00+00:00,13
