time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-20 00:00:00+00:00,9.0,4.0,20,5
2021-09-21 00:00:00+00:00,3.0,3.0,20,6
2021-09-22 00:00:00+00:00,7.0,6.0,50,8
2021-09-23 00:00:00+00:00,5.0,5.0,11,5
2021-09-24 00:00:00+00:00,,,41,4
2021-09-25 00:00:00+00:00,25.0,12.0,78,3
2021-09-26 00:00:00+00:00,3.0,3.0,58,11
2021-09-27 00:00:00+00:00,15.0,6.0,115,18
2021-09-28 00:00:00+00:00,5.0,5.0,54,13
2021-09-29 00:00:00+00:00,16.0,12.0,121,21
2021-09-30 00:00:00+00:00,4.0,4.0,120,22
2021-10-01 00:00:00+00:00,15.0,7.0,75,15
2021-10-02 00:00:00+00:00,14.0,4.0,34,9
2021-10-03 00:00:00+00:00,,,36,8
